cod_venda,data_venda,cod_vendedor,cod_produto,quantidade,valor_unitario
1,2015-02-02 00:00:00.000,2,80,1,549
1,2015-02-02 00:00:00.000,2,94,1,849
2,2015-01-01 00:00:00.000,9,27,1,429
2,2015-01-01 00:00:00.000,9,97,1,399
3,2015-03-07 00:00:00.000,5,80,1,549
4,2015-04-30 00:00:00.000,12,81,1,799
5,2015-05-19 00:00:00.000,14,77,1,1099
6,2015-12-28 00:00:00.000,16,93,1,899
7,2015-09-21 00:00:00.000,11,62,1,499
8,2015-08-19 00:00:00.000,26,102,1,2299
8,2015-08-19 00:00:00.000,26,105,1,119.9
9,2015-03-07 00:00:00.000,34,49,1,739
10,2015-01-31 00:00:00.000,22,18,1,1199
10,2015-01-31 00:00:00.000,22,78,1,549
11,2015-12-24 00:00:00.000,11,52,1,1999
12,2015-02-22 00:00:00.000,17,19,1,999
12,2015-02-22 00:00:00.000,17,38,1,54.9
13,2015-01-19 00:00:00.000,5,67,1,3190
13,2015-01-19 00:00:00.000,5,70,1,3399
14,2015-02-10 00:00:00.000,26,14,1,1099
14,2015-02-10 00:00:00.000,26,79,1,979
15,2015-08-11 00:00:00.000,15,56,1,599
15,2015-08-11 00:00:00.000,15,75,1,6999
16,2015-06-01 00:00:00.000,22,2,1,1399
16,2015-06-01 00:00:00.000,22,69,1,2200
17,2015-06-07 00:00:00.000,7,87,1,4599
17,2015-06-07 00:00:00.000,7,92,1,899
18,2015-07-10 00:00:00.000,11,90,1,11499
18,2015-07-10 00:00:00.000,11,114,1,399
19,2015-11-08 00:00:00.000,28,71,1,3699
19,2015-11-08 00:00:00.000,28,79,1,979
20,2015-04-04 00:00:00.000,20,59,1,329
20,2015-04-04 00:00:00.000,20,79,1,979
21,2015-11-28 00:00:00.000,21,83,1,479
22,2015-08-25 00:00:00.000,20,28,1,939
22,2015-08-25 00:00:00.000,20,61,1,299
23,2015-10-28 00:00:00.000,2,80,1,549
24,2015-07-30 00:00:00.000,21,12,1,1149
24,2015-07-30 00:00:00.000,21,29,1,299
25,2015-06-06 00:00:00.000,31,51,1,449
25,2015-06-06 00:00:00.000,31,63,1,3699
26,2015-02-21 00:00:00.000,23,13,1,1899
27,2015-04-17 00:00:00.000,21,95,1,1199
27,2015-04-17 00:00:00.000,21,112,1,139
28,2015-08-19 00:00:00.000,8,22,1,699
28,2015-08-19 00:00:00.000,8,85,1,539
29,2015-10-16 00:00:00.000,31,17,1,1099
29,2015-10-16 00:00:00.000,31,56,1,599
30,2015-03-12 00:00:00.000,12,114,1,399
31,2015-02-07 00:00:00.000,31,91,1,1399
32,2015-08-28 00:00:00.000,16,13,1,1899
32,2015-08-28 00:00:00.000,16,49,1,739
33,2015-12-15 00:00:00.000,28,85,1,539
33,2015-12-15 00:00:00.000,28,93,1,899
34,2015-10-14 00:00:00.000,30,25,1,599
34,2015-10-14 00:00:00.000,30,94,1,849
35,2015-09-24 00:00:00.000,31,43,1,24.9
35,2015-09-24 00:00:00.000,31,72,1,2099
36,2015-03-04 00:00:00.000,13,24,1,1099
37,2015-06-09 00:00:00.000,11,33,1,4599
37,2015-06-09 00:00:00.000,11,48,1,449
38,2015-12-30 00:00:00.000,21,41,1,44.9
38,2015-12-30 00:00:00.000,21,114,1,399
39,2015-09-16 00:00:00.000,13,40,1,29.9
40,2015-08-02 00:00:00.000,12,7,1,1899
41,2015-11-30 00:00:00.000,8,27,1,429
42,2015-04-25 00:00:00.000,19,61,1,299
42,2015-04-25 00:00:00.000,19,97,1,399
43,2015-03-20 00:00:00.000,21,58,1,329
44,2015-09-21 00:00:00.000,18,27,1,429
45,2015-08-11 00:00:00.000,1,68,1,2999
45,2015-08-11 00:00:00.000,1,90,1,11499
46,2015-09-27 00:00:00.000,10,85,1,539
46,2015-09-27 00:00:00.000,10,96,1,1999
47,2015-11-13 00:00:00.000,5,62,1,499
48,2015-03-11 00:00:00.000,23,19,1,999
48,2015-03-11 00:00:00.000,23,109,1,79.9
49,2015-06-10 00:00:00.000,13,10,1,749
50,2015-10-19 00:00:00.000,31,30,1,699
50,2015-10-19 00:00:00.000,31,98,1,349.9
51,2015-02-22 00:00:00.000,21,83,1,479
51,2015-02-22 00:00:00.000,21,105,1,119.9
52,2015-10-14 00:00:00.000,21,25,1,599
52,2015-10-14 00:00:00.000,21,72,1,2099
53,2015-10-23 00:00:00.000,32,4,1,1599
54,2015-04-12 00:00:00.000,15,9,1,849
55,2015-03-06 00:00:00.000,32,104,1,2150
56,2015-03-14 00:00:00.000,9,34,1,2799
57,2015-10-13 00:00:00.000,17,43,1,24.9
57,2015-10-13 00:00:00.000,17,53,1,999
58,2015-10-28 00:00:00.000,1,68,1,2999
59,2015-10-15 00:00:00.000,17,98,1,349.9
60,2015-06-15 00:00:00.000,10,85,1,539
61,2015-07-14 00:00:00.000,19,23,1,649
62,2015-01-25 00:00:00.000,21,54,1,399
62,2015-01-25 00:00:00.000,21,69,1,2200
63,2015-01-27 00:00:00.000,17,53,1,999
63,2015-01-27 00:00:00.000,17,92,1,899
64,2015-10-14 00:00:00.000,2,1,1,869
64,2015-10-14 00:00:00.000,2,113,1,49.9
65,2015-09-24 00:00:00.000,27,26,1,1099
66,2015-10-25 00:00:00.000,26,26,1,1099
67,2015-05-02 00:00:00.000,28,13,1,1899
68,2015-09-14 00:00:00.000,35,101,1,2399
69,2015-07-03 00:00:00.000,35,24,1,1099
70,2015-08-03 00:00:00.000,26,58,1,329
70,2015-08-03 00:00:00.000,26,60,1,589
